,Total-Test,Motor-Test
All,"[4.72739565123665, 4.875135633782795, 4.923008301619718, 4.64513829461853, 4.9999231598183735]","[3.69392364258007, 3.8066509783398152, 3.833946413221395, 3.5922467113893566, 3.779639411087091]"
Males,"[5.161896142021313, 4.781303650950678, 5.249224757458566, 5.012418603953668, 5.0989893335048135]","[3.95458253100918, 3.563240457396544, 3.8618798316129386, 3.849424292854663, 3.704076957412868]"
Females,"[3.0953015022167407, 3.1897541526667728, 3.415462603352812, 3.682044211587133, 3.5839747256171752]","[2.6230389977947888, 2.611450702842487, 2.8280376884699097, 3.068184436026801, 3.0984620149321698]"
