,Total-Test,Motor-Test
All,"[8.556223642627472, 8.710720207864965, 2.8596271205340447, 2.529067225888516, 2.5169233303300573]","[6.967887398323222, 7.011121740538253, 2.3107213124428605, 2.071870141748307, 2.0049912001849233]"
Males,"[9.12598602184952, 2.554022250107459, 2.76295031380594, 9.386690845563704, 9.186872092576634]","[6.6464460478518665, 2.033201729559958, 2.1245677223500468, 6.948658143383606, 6.8315839066388895]"
Females,"[8.022458255714785, 7.563464232231588, 7.787622660639961, 7.402170876601929, 7.430750659971186]","[7.631271463453324, 7.4002851462787484, 7.484134574988054, 7.2752275675319735, 7.288824528968525]"
