,Total-Test,Motor-Test
All,"[2.8307722845122485, 2.58193448050718, 2.5959621367261096, 2.483127820024328, 2.5079397712457605]","[2.3262169107707713, 2.0578484183926435, 2.0843520066352768, 2.118411824826711, 2.007639738748524]"
Males,"[2.4171556906861045, 2.3119784447334237, 2.4370299760966727, 2.146739493440453, 2.0939461197458247]","[1.6077130091567617, 1.7886258106282178, 1.7471831900839248, 1.7006624614980628, 1.635258237053765]"
Females,"[2.6852400571983854, 2.671947428745522, 2.6107959226135424, 2.4930801079045612, 2.53136680471334]","[2.2207947815016205, 2.2547737546270614, 2.1949691294466893, 2.301625619284261, 2.0629278531847413]"
